t	X1	Y1	X2	Y2	X3	Y3	X4	Y4	X5	Y5	X6	Y6
85	0.33565807	0.129018756	-1.049047113	0.304404631	-0.710644493	1.261055569	-0.681978773	-0.563274956	0.293840995	-0.529559042	0.078702864	-0.306054545
86	0.495225502	0.371746849	-0.985090862	0.284688199	-0.469582136	0.761623374	-0.534492836	-0.05242356	0.674173263	-0.602332635	0.053621937	-0.31554357
87	0.7228346	0.435213457	-0.759655532	0.726573866	-0.413426266	0.381173905	-0.915697182	0.12868514	-0.144881532	-0.473933191	0.111087917	-0.40947322
88	0.227474209	0.312133307	-0.985389644	0.435647473	-0.571483888	1.423241034	-0.809540718	-0.372426618	0.937169409	-0.509989694	0.678149193	-0.212432336
89	0.634598304	0.01376901	-1.08838989	0.316429682	-0.723753144	0.176796208	-0.57033549	-0.469899062	0.24563867	-0.7733699	0.001118962	-0.334950246
90	0.383306376	0.23314586	-0.908868338	0.45367104	-0.805581218	1.052226916	-0.452282466	-0.414068637	0.192692105	-0.91598722	-0.136371125	-0.150349909
91	1.004989473	0.168329535	-1.158728573	0.680786362	-0.649588524	0.745244573	-0.67093264	0.195330527	0.007616942	-0.626804229	-0.002273344	0.799579012
92	0.324856786	0.227773018	-0.908659587	0.144814902	-0.278411127	0.540274797	-0.805064175	-0.084836489	0.183918131	-0.757768814	0.28053784	-0.401609909
93	0.650076614	-0.022162383	-0.410356291	0.732773178	-0.496372174	0.559354722	-0.66383554	0.241414948	0.136193826	-0.320325514	0.074948052	-0.413119804
94	0.765035808	0.340263866	-1.146514204	1.105915026	-0.574004257	0.877861295	-0.608940003	-0.731428221	1.214838382	-0.538579492	0.827304994	-0.271977927
95	0.710579821	0.27320406	-0.793685365	0.286109435	-0.891650051	0.877126795	-0.415075058	-0.166767177	0.58395565	-0.54055932	0.305535213	-0.115737079
96	-0.233921413	1.387513461	-0.945860891	0.828105506	-0.46252068	0.525519873	-0.850714563	-0.60040969	0.470870659	-0.553264319	0.537976794	-0.324888335
97	0.206381006	0.062582114	-1.019115198	0.121953113	-0.339226285	1.091347995	-0.476689002	-0.482753832	0.368451665	-0.706044044	0.788980675	-0.167023444
98	0.177364878	0.427267047	-1.098352196	0.519490159	-0.508833605	0.673252647	-0.539254683	0.026392921	-0.025143576	-0.373280185	0.581112037	0.008372594
99	-0.083302237	1.390701373	-0.750390174	0.704151797	-0.493715486	0.660277794	-0.563283749	-0.31750617	1.286055174	-0.469899456	0.476857081	-0.043497066
100	0.009666795	0.037556522	-0.845559075	-0.043351247	-0.310424805	1.34371355	-0.710952125	-0.259682032	1.06531292	-0.398350943	0.725046255	0.072795447
101	0.14852057	0.307467413	-0.935190403	0.579465369	-0.764275076	1.112204488	-0.48889857	-0.459900838	0.269622361	-0.666456463	0.53166415	-0.213352078
102	0.110637422	0.150649052	-0.851365224	0.715587107	-0.772880449	0.988587933	-0.512313157	-0.44485342	0.690838363	-0.479268077	0.064249097	-0.066133688
103	0.29802443	0.198050139	-1.309543137	0.487951453	-0.583840768	0.908380214	-0.792286992	-0.491171806	0.594186056	-0.312026623	0.956315644	-0.153210656
104	0.274508214	-0.084018478	-0.441858374	0.659139307	-0.652998	0.82845255	-0.429555075	-0.204466552	0.358636233	-0.271571791	0.201265719	-0.121600502
105	0.072072244	0.07541435	-0.838473777	0.213787427	-0.625927731	0.89495501	-0.341940105	-0.522663214	0.80868738	-0.415627386	0.348384977	-0.118305139
106	0.367029829	-0.063739077	0.401879997	0.067170833	-0.766982592	1.268258795	-0.625176136	-0.248980979	1.200474671	-0.404688375	1.23204322	-0.121055067
